Total: 51246, Need geocoding: 27665
200/27665 done:2 fail:198
400/27665 done:67 fail:333
600/27665 done:81 fail:519
800/27665 done:81 fail:719
1000/27665 done:81 fail:919
1200/27665 done:81 fail:1119
1400/27665 done:81 fail:1319
1600/27665 done:119 fail:1481
1800/27665 done:181 fail:1619
2000/27665 done:223 fail:1777
2200/27665 done:223 fail:1977
2400/27665 done:242 fail:2158
2600/27665 done:311 fail:2289
2800/27665 done:343 fail:2457
3000/27665 done:418 fail:2582
3200/27665 done:479 fail:2721
3400/27665 done:533 fail:2867
3600/27665 done:592 fail:3008
3800/27665 done:652 fail:3148
4000/27665 done:677 fail:3323
4200/27665 done:677 fail:3523
4400/27665 done:677 fail:3723
4600/27665 done:677 fail:3923
4800/27665 done:677 fail:4123
5000/27665 done:677 fail:4323
5200/27665 done:677 fail:4523
5400/27665 done:677 fail:4723
5600/27665 done:677 fail:4923
5800/27665 done:686 fail:5114
6000/27665 done:767 fail:5233
6200/27665 done:822 fail:5378
6400/27665 done:927 fail:5473
6600/27665 done:1068 fail:5532
